"","rat_gene_id","rat_gene_symbol","LHNS1","LHNS2","LHNS3","IGFNS1","IGFNS2","IGFNS3","PDGFNS1","PDGFNS2","PDGFNS3"
"28844","ENSRNOG00000032964","Rpl37a-ps5",0,0,2,2,2,0,0,3,3
"28845","ENSRNOG00000025883","Ip6k3",4,3,5,0,1,7,1,2,0
"28846","ENSRNOG00000067001",NA,0,0,0,0,0,0,0,0,0
"28847","ENSRNOG00000000320","AABR07045462.1",13,22,21,39,28,16,17,21,22
"28848","ENSRNOG00000050215","Cdsn",418,167,257,206,101,203,313,483,475
"28849","ENSRNOG00000026080","LOC688390",0,0,0,0,0,0,0,0,0
"28850","ENSRNOG00000045908","RT1-Ha",0,0,0,0,0,0,0,0,0
"28851","ENSRNOG00000037628","AABR07045487.1",0,0,0,0,0,0,0,0,0
"28852","ENSRNOG00000069043",NA,0,0,0,0,0,0,0,0,0
"28853","ENSRNOG00000025179","Rpl13a-ps2",3416,2953,3161,5455,2795,4487,4718,6552,6325
"28854","ENSRNOG00000033389","Susd2",280,108,118,390,137,233,136,177,179
"28855","ENSRNOG00000069418",NA,0,0,0,0,0,1,0,1,0
"28856","ENSRNOG00000071013",NA,0,0,0,0,0,0,0,0,0
"28857","ENSRNOG00000066416",NA,0,0,0,0,0,0,0,0,0
"28858","ENSRNOG00000071158","LOC108349057",0,0,0,0,0,0,0,0,0
